topic,source_word,en,de,nl,cs,it,es,PT-PT,ro,da,fr,pl,hu,el,NB
animals,basking shark,bˈæskɪŋ ʃˈɑːɹk,rˈiːzənhˌaɪ,rˈøːzɛnhˌaːj,ʒrˈalok ˈobrofskiː,skwˈalo elefˈante,tˌiβuɾˈom pˌeɾeɣɾˈino,tˌubɐɾˈɐ̃ʊ̃fɹˈadɨ,rekˈin bazˈin,bˈaskəɐ̯h?ɑj,ʁəkˈɛ̃ pɛlʁˈɛ̃,rˈɛkin vˌɨɡʒɛvajˈɔntsɨ ɕɛ,ʃˈytkeːrɛzøː tsˈaːpɑ,kˌarxarˈias pu ʎˈazetˌe,rˈʉːɡɛnna hˈɑɪ
animals,bass,bˈeɪs,bˈas,bˈɑs,bˈasi,bˈasso,bˈaxo,bˈaɪʃʊ,bˈas,bˈas,bˈas,bˈas,bˈɑssuʃ,bˈaso,bˈɑs
animals,basset hound,bˈæsɛt hˈaʊnd,dˈaxshʊnt,bˈɑsɛtˌɔnt,bˈaset,bassˈɔtːo,bassˈet ˈownd,bɐsˈɛtʃ ˈownd,basˈet hˈoʊnd,bˈasεthˌʔun,basˈɛ,bˈassɛt,bˈɑʃʃɛt hˈound,bˈaset xˈoud,bˈɑssəthˌʉnn
animals,bat,bˈæt,flˈeːdɜmˌaʊs,vlˈɪːrmœys,nˈetopiːr,pipistrˈɛllo,muɾθjˈelaɣo,tˈakʊ,liljˈak,bˈat,ʃˈovsuʁˈi,ɲʲɛtˈɔpɛʃ,dˈɛnɛveːr,nˌixterˈiða,flˈɑɡːarmˌʉːs
animals,beagle,bˈiːɡəl,bəˈaɡlə,bəˈɑɣlə,bˈiːɡl̩,beˈaɡle,beˈaɣle,bˌiˈaɡlɨ,bˈeaɡle,bˈiːɡəl,(en)bˈiːɡəl(fr),bɛˈaɡlɛ,bˈɛɑɡlɛ,(en)bˈiːɡəl(el),bəˈɑɡla
animals,bear,bˈɛɹ,bˈɛːɾ,bˈeːr,mˈedvjet,ˈorso,ˈoso,ˈuɾəsʊ,ˈurs,bˈɛʔʌ,ˈuʁs,ɲʲˈɛdʑvʲɛtɕ,mˈɛdvɛ,arkˈuða,bjˈœrn
animals,bearded dragon,bˈɪɹdᵻd dɹˈæɡən,bˈaɾtaɡˌɑːmə,bˌaːrdaːɣˈaːm,vˈoʊsatiː drˈak,drˈaɡo barbˈuto,dɾaɣˈom baɾβˈuðo,dɹɐɡˈɐ̃ʊ̃ bˌɐɾəbˈudʊ,draɡˈon bərbˈos,skˈεɡ?ɑɡˌ?ɑmə,dʁaɡˈɔ̃ baʁbˈy,smˈɔɡ brɔdˈatɨ,sˈɑkaːllɑʃ ʃˈaːrkaːɲ,jˌeɲofˈoroz ðrˈakos,ʃˈɛɡːaɡˌama
animals,beaver,bˈiːvɚ,bˈiːbɜ,bˈeːvər,bˈobr̩,kastˈɔro,kastˈoɾ,kɐʃtˈoɹ,kastˈor,bˈɛʋʔʌ,kastˈɔʁ,bˈubr,hˈoːd,kˈastorˌas,bəvˈeːr
animals,bed bug,bˈɛd bˈʌɡ,bˈɛtvantsə,bədʋˈɑnts,ʃcˈeɲitse,tʃˈimitʃe dˌeɪ lˈɛtːɪ,tʃˈintʃe,pˌeɾəsɨvˈeʒʊ,ɡɨndˈak de pˈat,ʋˈεɡʔelˌʔus,pynˈɛz də- lˈi,plˈuskfa,ˈaːɟi pˈoloʃkɑ,(en)bˈʌɡ bˈʌɡ(el),vˈɛɡːeːdˌyːr
animals,bee,bˈiː,bˈiːnə,bˈɛɪ,ftʃˈela,ˈape,aβˈexa,ˌɐbˈeʎɐ,albˈinə,bˈʔi,abˈɛj,pʃtʃˈɔwa,mˈeːh,mˈelissˌa,bˈiː
animals,beetle,bˈiːɾəl,kˈɛːfɜ,kˈeːvər,brˈoʊk,skaɾabˈɛo,ˌeskaɾaβˈaxo,ʃkˌɐɾɐvˈeʎʊ,skˌaɾabˈeʊ,bˈʔilə,skaʁabˈe,xʃˈɔ̃ʃtʃ,bˈoɡaːr,skaθˈari,bˈɪlla
animals,beluga whale,bᵻlˈuːɡə wˈeɪl,bəlˈuːɡɑːvˈɑːl,bəlˈyɣaː ʋˈɑlvɪs,vˈelriba bjˈeluha,balˈena belˈuɡa,belˈuɣa,bˌɐlˈeɪɐ bˌelˈuɡɐ,balˈenə belˈuɡa,ʋˈʔiðʋal,belyɡˈa,vʲɛlˈɔrɨb bjɛwˈuɡa,bˈɛluɡɑ bˈaːlnɑ,fˈalenˌa belˈuŋɡa,vˈɪtval
animals,bichon frise,bˈɪtʃɑːn fɹˈaɪz,bˈɪçoːn frˈiːzə,bɪxˈɔn frˈisə,bˈiʃonek frˈise,bˈitʃon frˈize,bitʃˈom fɾisˈe,biʃˈoŋ fɹˈizɨ,bikˈon frˈise,bˈʔiʃʔon fʁˈisə,biʃˈɔ̃ fʁizˈe,bʲˈixɔn frˈisɛ,bˈitshon frˈiʃɛ,bisˈon frizˈe,bˈɪʃuːn friːsˈeː
animals,bighorn sheep,bˈɪɡhɔːɹn ʃˈiːp,dˈɪkhɔɾnʃˌɑːf,dˌɪkhɔːrnsxˈaːp,ˈoftse tlˈustorˌoheː,pˈɛkora bˈiɡorn,borˈeɣo θˌimarˈon,ˌɔvˈeʎɐ sˌelvˈaʒeɪŋ,ˈɔaje biɡˈorn,hˈʔʌjhɒnsfˌɒɒ,muflˈɔ̃ dameʁˈik,ˈɔftsa bɨdlˈɛntsa,bˈiɡhorn jˈuhok,prˈovatˌa (en)bˈɪɡhɔːn(el),stˈɔrhɔrnsˌaʊ
animals,bilby,bˈɪlbi,bˈɪlbiː,bˈɪlbi,bˈilbi,bˈilbɪ,bˈilβi,bˈilbi,bˈilbi,bˈʔilbʔy,bilbˈi,bʲˈilbɨ,bˈilbi,(en)bˈɪlbi(el),bˈɪlbyː
animals,binturong,baɪntʃɚɹˈɔŋ,bˈɪntuːrˌɔŋ,bˈɪntyrˌɔŋ,bˈinturoŋk,bintˈuroŋɡ,bintˈuɾoŋ,bˌiŋtuɾˈoŋɡɐ,bˌintuɾˈoŋɡ,bˈʔintʔuɐ̯ˌʔʌŋ,bɛ̃tyʁˈɔ̃ɡ,bʲintˈurɔŋk,bˈinturonɡ,(en)baɪntʃəɹˈɒŋ(el),bˈɪntʉːrˌɔŋ
animals,bird,bˈɜːd,fˈoːɡəl,vˈoːɣəl,ptˈaːk,ʊtʃːˈɛllo,pˈaxaɾo,ˈavɨ,pˈasəɾˌe,fˈʔul,wazˈo,ptˈak,mˈɑdaːr,pulˈi,fˈʉɡl
animals,bison,bˈaɪsən,bˈiːzoːn,bizˈɔn,bˈizon,bizˈonte,bisˈonte,bˌizˈoŋtɨ,bizˈon,bˈʔisʔʌn,bizˈɔ̃,ʒˈubr,bˈøleːɲ,vˈisonˌes,bˈiːsuːn
animals,bivalve,baɪvˈælv,tsvˈaɪʃalˌɪɡə mˈʊʃəl,tʋeːklˈɛpəɣə,mˈl̩ʒi,bivˈalve,biβˈalβo,bˌivˈɑlvɨ,bivˈalv,tˈʔʌskaləð,bivˈalv,mˈawʒa,kˈeːtheːjuː kˈɑɟloː,ðˈiθirˌa,tˈɔskɑllˌeːda
animals,black bear,blˈæk bˈɛɹ,ʃvaɾtsbˈɛːɾ,zʋˈɑrtə bˈeːr,tʃˈerniː mˈedvjet,ˈorso nˈero,ˈoso nˈeɣɾo,ˈuɾəsʊ pɹˈetʊ,ˈurs nˈeɡru,sˈoɐ̯t bjˈʔœɐ̯n,ˈuʁs nwˈaʁ,tʃˈarnɨ ɲʲˈɛdʑvʲɛtɕ,fˈɛkɛtɛ mˈɛdvɛ,mˈavri arkˈuða,svˈɑrtbjœrn
animals,black bear hamster,blˈæk bˈɛɹ hˈæmstɚ,ʃvˈaɾtsɜ bˈɛːɾ hˈɑːmstɜ,zʋˈɑrtə bˈeːr hˈɑmstər,tʃˈerniː mˈedvjet kr̝̊ˈetʃek,kritʃˈɛto ˈorso nˈero,ˈamsteɾ ˈoso nˈeɣɾo,ɐ̃mstˈeɹ ˈuɾəsʊ pɹˈetʊ,ˈurs nˈeɡru hˈamster,sˈoɐ̯t bjˈʔœɐ̯n hˈ?ɑmstʔʌ,amstˈɛʁ ˈuʁs nwˈaʁ,ɲʲˈɛdʑvʲɛtɕ tʃˈarnɨ xˈɔmik,fˈɛkɛtɛ mˈɛdvɛ hˈørtʃøɡ,xˈamster mˈavris arkˈuðas,svˈɑrtbjœrnhˌɑmstər
animals,black caiman,blˈæk kˈeɪmən,ʃvˈaɾtsɜ kaɪmˈɑːn,zʋˈɑrtə kˈaːjmɑn,kˈajman tʃˈerniː,kaɪmˈano nˈero,kaɪmˈan nˈeɣɾo,ʒˌɐkɐɾˈɛ pɹˈetʊ,kaɪmˈan nˈeɡru,sˈoɐ̯t kˈaʔimˌan,kaimˈɑ̃ nwˈaʁ,kˈajman tʃˈarnɨ,fˈɛkɛtɛ kˈɑjmaːn,mˈavros kaɪmˈan,svˈɑrt kˈɑɪman
animals,black racer,blˈæk ɹˈeɪsɚ,ʃvˈaɾtsɜ rˈɛnɜ,zʋˈɑrtə rˈaːsər,tʃˈerniː zˈaːvodɲiːk,korɾidˈore nˈero,kˌoreðˈoɾ nˈeɣɾo,kˌuʁɨdˈoɹ pɹˈetʊ,ratʃˈer nˈeɡru,sˈoɐ̯t ʁˈεsʔʌbˌʔil,kuʁˈœʁ nwˈaʁ,tʃˈarnɨ zavˈɔdɲik,fˈɛkɛtɛ vˈɛrʃɛɲzøː,mˈavroz ðromˈeas,svˈɑrt rˈakarbˌiːl
animals,black swan,blˈæk swˈɑːn,ʃvˈaɾtsɜ ʃvˈɑːn,zʋˈɑrtə zʋˈaːn,tʃˈernaː lˈabuc,tʃˈiɲɲo nˈero,θˈisne nˈeɣɾo,sˈiʒnɨ nˈeɡɹʊ,lˈebədˌə nˈeaɡrə,sˈoɐ̯t sʋˈanə,sˈiɲ nwˈaʁ,tʃˈarnɨ wˈabɛɲtɕ,fˈɛkɛtɛ hˈɑcːuː,mˈavros cˈiknos,svˈɑrt svˈana
animals,blackbird,blˈækbɜːd,ˈamzəl,mɪːrˈɛl,blˈadʑkbirt,mˈɛrlo,mˈiɾlo,mˈelʁʊ,mjˈerlə,sˈʔolsoɐ̯t,mˈɛʁl,kˈɔs,fˈɛkɛtɛriɡoː,(en)blˈakbɜːd(el),svˈɑrtːrʊst
animals,bloodhound,blˈʌdhaʊnd,blˈʊtʊnt,blˈudhɔnt,blˈoothoʊnt,seɡˈudʒo,saβwˈeso,kˈɐ̃ʊ̃ dɨ kˈasɐ,kˈyɪne de vˌɨnətˈɔaɾe,blˈʔoðhʔun,limjˈe,ˈɔɡar,blˈoodhound,lˌaɣonikˈo,blˈɔdhʉnn
animals,blowfish,blˈoʊfɪʃ,kuːɡˈɛlfɪʃ,blˈɔʋfɪʃ,blˈoffisx,pˈeʃe pˈalla,pˈeθ ɣlˈoβo,pˈeɪʃɨbɐlˈɐ̃ʊ̃,pˈeʃtebalˈon,blˈɛsəfʔesk,pwasˈɔ̃sˈufl,rɔzdˈɨmka,blˈovfiʃh,(en)blˈəʊfɪʃ(el),blˈɔkvaɪta
animals,blue jay,blˈuː dʒˈeɪ,blˈaʊhɛːɜ,blˈʌʊə ɣˈaːj,mˈodraː sˈojka,ɡjandˈaia blˈu,ˌarendˈaxo aθˈul,ɡˈaɪw ɐzˈuw,ɡˈaɪtsə albˈastrə,blˈʌskaðə,ʒˈe blˈø,sˈujka bwɛŋkˈitna,kˈeːk sˈɑjkoː,pˌapaɣˈalos,blˈɔskriːka
animals,blue morpho butterfly,blˈuː mˈɔːɹfoʊ bˈʌɾɚflˌaɪ,blˈaʊɜ mˈɔɾfoːʃmˈɛtɜlˌɪŋ,blˈʌʊə mˈɔrphoː vlˈɪndər,mˈotiːl mˈodraːsek mˈorfoviː,farfˈalla mˈɔrfo blˈu,mˌaɾipˈosa mˈoɾfo aθˈul,bˌuɾəbulˈetɐ mˈoɾəfw ɐzˈuw,flutˈuɾe mˈorfo albˈastru,blˈɒ mˈɒphʔosˈʔʌmʔʌfˌʔul,papijˈɔ̃ mɔʁfˈo blˈø,ɲʲɛbjˈɛski mˈɔtɨl mˈɔrfɔ,kˈeːk mˈorfium pˈillɑnɡoː,blˈe pˌetalˈuða (en)mˈɔːfəʊ(el),blˈoː mˈɔrphuː sˈɔmmarfˌʉɡl
animals,blue ring octopus,blˈuː ɹˈɪŋ ˈɑːktəpəs,blˈaʊrɪŋˈɔktɔpˌʊs,blˈʌʊə rˈɪŋ ˈɔktoːpˌɵs,xˈobotɲˌitse s mˈodriːm krˈoʊʃkem,pˈolpo ad anˈɛllɪ blˈu,pˈulpo ðe anˈiʎos aθˈules,pˈolvʊ dɨ ɐ̃nˈɛl ɐzˈuw,kˌaɾakˈatitsˌə ku inˈel albˈastru,blˈεkspʁʔutə mεð blˈɒ ʁˈʔeŋ,pjˈøvʁ a anˈo blˈø,ˌɔɕmʲɔrɲˈitsa z ɲʲɛbjˈɛskim pʲɛrɕtɕˈɛɲʲɛm,kˈeːk ɟˈyːryːʃ pˈolip,xtapˈoði me blˈe ðaktˈiʎo,blˈɛkːsprʉːt meːd blˈoː rˈɪŋ
animals,blue shark,blˈuː ʃˈɑːɹk,blˈaʊhaɪ,blˈʌʊə hˈaːj,mˈodriː ʒrˈalok,skwˈalo blˈu,tˌiβuɾˈon aθˈul,tˌubɐɾˈɐ̃ʊ̃ ɐzˈuw,rekˈin albˈastru,blˈɒ hˈ?ɑj,ʁəkˈɛ̃ blˈø,ʒˈarwadʒ bwɛŋkˈitnɨ,kˈeːk tsˈaːpɑ,blˈe kˌarxarˈias,blˈoːhɑɪ
animals,blue whale,blˈuː wˈeɪl,blˈaʊvɑːl,blˈʌʊə vˈɪnvɪs,mˈodraː vˈelriba,balˈena blˈu,baʎˈena aθˈul,bˌɐlˈeɪɐ ɐzˈuw,balˈena albˈastrə,blˈʌʋal,balˈɛn blˈø,pwˈɛtfal bwɛŋkˈitnɨ,kˈeːk bˈaːlnɑ,ɣalˈazja fˈalenˌa,blˈɔval
animals,bluebird,blˈuːbɜːd,(en)blˈuːbɜːd(de),blˈyəbˌɪrt,mˈodriː ptˈaːk,ʊtʃːˈɛllo adzːˈurɾo,pˈaxaɾo aθˈul,pˈasɐɾw ɐzˈuw,pˈasəɾˌe albˈastrə,blˈʌfʔul,wazˈo blˈø,ɲʲɛbjˈɛski ptˈak,kˈeːk mˈɑdaːr,(en)blˈuːbɜːd(el),blˈoːfʉɡl
animals,bluefin tuna,blˈuːfɪn tˈuːnə,blˌaʊflɔsəntˈʊnfɪʃ,blˌʌʊvɪntoːnˈɛɪn,tˈuɲaːk ˈobetsniː,tˈonno rˈosso,atˈun rˈoxo,ɐtˈũŋ ʁˌɐbˈiʎʊ,tˈon rˈoʃu,blˈʌfʔenəð tˈʔun,tˈɔ̃ ʁˈuʒ,tˈuɲtʃɨɡ bwˌɛŋkitnɔpwˈɛtfɨ,kˈeːkuːsoːjuː tˈonhɑl,ˌeriθrˈos tˈonos,blˈoːfɪnnət tˈʉnfɪsk
animals,bluetongued skink,blˈuːɾʌŋd skˈɪŋk,blˈaʊtsʊŋˌɛnskɪŋk,blˈʌʊtɔŋskˌɪŋk,skˈiŋk mˈodrohɲˌediː,vizˈone kon la lˈiŋɡwa blˈu,ˌesliθˈon de lˈɛŋɡwa aθˈul,ʁˌinusɨɾˈoŋtɨ ˌɐzulˈadʊ,skˈiŋk ku ɡˈɨt albˈastru,blˈʌstɒŋəð skˈʔenk,sˈɛ̃k a kˈø blˈø,jaʃtʃˈurka ɲʲˌɛbjɛskɔwˈuska,kˈeːkɲɛlvyː ʃkˈink,(en)blˈuːtʌŋd skˈɪŋk(el),blˈɔstʉŋət ʃˈɪŋk
animals,boa constrictor,bˈoʊə kənstɹˈɪktɚ,bˈoːɑː kɔnstɾˈɪktoːɾ,bˈoːaː kˈɔnstrɪktˌɔr,hrˈozniːʃ krˈaːlofskiː,bˈɔa konstriktˈɔr,bˈoa kˌonstɾiktˈoɾa,ʒˌibˈɔɪɐ,bˈɔa kˌonstriktˈor,bˈʔoa kˈʔʌnstʁʔiktˌʔʌ,boˈa kɔ̃stʁiktˈɔʁ,bˈɔa duɕˈitɕɛl,bˈoɑ tsˈonʃtritstor,(en)bˈəʊə kənstɹˈɪktə(el),bˈuːɑ kˈɔnstrɪktˌuːr
animals,bobcat,bˈɑːbkæt,lˈʊxs,bˈɔbkɑt,bˈoptsat,bˈobkat,bobkˈat,lˈiŋsɨ,bobkˈat,bˈʔʌbkat,lˈɛ̃ks,bˈɔptsat,bˈobtsɑt,(en)bˈɒbkat(el),rˈœdɡaʊpa
animals,bongo,bˈɑːŋɡoʊ,bˈɔŋɡoː,bˈɔŋoː,bˈoŋɡo,bˈoŋɡo,bˈoŋɡo,buŋɡˈo,bˈoŋɡo,bˈʔʌnɡʔo,bɔ̃ɡˈo,bˈɔŋɡɔ,bˈonɡo,(en)bˈɒŋɡəʊ(el),bˈɔŋuː
animals,bonobo,bənˈoʊboʊ,boːnˈoːboː,boːnˈoːboː,bˈonobo,bonˈobo,bonˈoβo,bˌunˈobʊ,bonˈobo,bˈʔonʔobˌʔo,bonobˈo,bɔnˈɔbɔ,bˈonobo,(en)bənˈəʊbəʊ(el),bˈuːnuːbˌuː
animals,bony fish,bˈoʊni fˈɪʃ,knɔxˈɛnfɪʃə,bˈeːnvɪs,kˈostnateː rˈibi,pˈeʃe ˈɔsseo,pˈeθ ˈoseo,pˈeɪʃɨz ˈɔsiʊʃ,pˈeʃte osˈos,bʔenəðə fˈʔesk,pwasˈɔ̃ ɔsˈø,rˈɨba ɔɕtɕˈista,tʃˈontoʃ hˌɑl,kˌokaʎˈarikˌo psˈari,bənfˈɪsk
animals,border collie,bˈɔːɹdɚ kˈɑːli,bˈɔɾdɜ kɔlˈiː,bˈɔrdər kɔlˈi,bˈorder kˈolije,bordˈɛr kˈollie,boɾðˈeɾ kˈoʎie,buɾədˈeɹ kˌulˈiɨ,bordˈer kˈolje,bˈʔoʔʌ kˈʔʌljə,bɔʁdˈe kɔlˈi,bˈɔrdɛr tsˈɔlljɛ,bˈordɛr tsˈolliɛ,(en)bˈɔːdə kˈɒli(el),bˈuːrdər kˈɔlliːa
animals,boston terrier,bˈɔstən tˈɛɹiɚ,bˈɔstoːn tɛrˈiːɾ,bɔstˈɔn tˈɛɾriər,bˈostonskiː tˈerieːr,bˈɔston terɾiˈɛr,bˈoston tˌeriˈeɾ,buʃtˈoŋ tˌeʁiˈɛɹ,bostˈon terjˈer,(en)bˈɒstən(da) tˈεɐ̯ɐ̯jʔʌ,bɔstˈɔ̃ tɛʁjˈe,bˈɔstɔn tˈɛrʲɛr,bˈoʃtoni tˈɛriɛr,tˌeriˈe tiz vostˈonis,bˈʊstuːn tˈarriːər
animals,bowhead whale,bˈoʊhɛd wˈeɪl,ɡɾˈœnlandvˌɑːl,ɣrˈunlɑndsə ʋˈɑlvɪs,vˈelriba ɡrˈoːnskaː,balˈena bowˈɛad,baʎˈena ðe ɣɾˌoenlˈandja,bˌɐlˈeɪɐdɐˈiŋdjɐ,balˈena pˈestritsˌə,ɡʁˈʔœnlansʋˌal,balˈɛn boʁeˈal,dʑˌɔbɔrˈɔʒɛts,fˈɛjɛʃfɛjyː bˈaːlnɑ,fˈalenˌa (en)bˈəʊhɛd(el),ɡrˈœnlɑnnsvˌal
animals,box turtle,bˈɑːks tˈɜːɾəl,zˈʊmpfʃɪltkɾˌøːtə,dˈoːsxɪldpˌɑt,ʒˈelva skˈaːkavaː,tartarˈuɡa skˈatola,toɾtˈuɣa ðe kˈaxa,tˌɐɾətɐɾˈuɡɐ dɨ kˈaɪʃɐ,tsestˈɔasə de kutˈie,ˈεskεskˌʔilpaðə,tɔʁtˈybwˈat,ʒˈuwf pˌudɛwkˈɔvɨ,dˈobostɛknøːʃ,cˌivotiˈosçimˌi çelˈona,bˈɔkssxɪlpˌɑdːa
animals,boxer,bˈɑːksɚ,bˈɔksɜ,bˈɔksər,bˈokser,pˈudʒile,bˌokseaðˈoɾ,bˌuksiɐdˈoɹ,boksˈer,bˈʔʌksʔʌ,boksˈœʁ,bˈɔksɛr,bˈoksɛr,bˈokser,bˈɔksər
animals,brittle star,bɹˈɪɾəl stˈɑːɹ,ʃlˈaŋɛnstɜn,brˈoːzə stˈɛr,kr̝̊ˈehkaː hvjˈezda,stˈella frˈadʒile,estɾˈeʎa fɾˈaxil,ʃtɹˈelɐ kˌebɹɐdˈisɐ,stˈea fradʒˈilə,spʁˈʔœð stjˈεɐ̯nə,etwˈal fʁaʒˈil,krˈuxa ɡvʲˈazda,tˈøreːkɛɲ tʃˈillɑɡ,ˈefθrafstˌo astˈeri,sprˈøː sʂˈarna
animals,brown bear,bɹˈaʊn bˈɛɹ,bɾaʊnbˈɛːɾ,brˈœynə bˈeːr,mˈedvjet hɲˈediː,ˈorso brˈuno,ˈoso pˈaɾðo,ˈuɾəsʊ kˌɐʃtˈɐ̃ɲʊ,ˈurs brˈun,bɐ̯ˈʔun bjˈʔœɐ̯n,ˈuʁs bʁˈœ̃,ɲʲˈɛdʑvʲɛdʑ brunˈatnɨ,bˈɑrnɑmɛdvɛ,kafˈe arkˈuða,brˈʉnbjœrn
animals,brown pelican,bɹˈaʊn pˈɛlɪkən,bɾˌaʊnpəliːkˈɑːn,brˈœynə pˌeːlikˈaːn,pˈelikaːn hɲˈediː,pellikˈano marɾˈone,pelˈikano pˈaɾðo,pˌelikˈɐ̃nʊ kˌɐʃtˈɐ̃ɲʊ,pˌelikˈan brˈun,bɐ̯ˈʔun pˌʔelʔekˈan,pelikˈɑ̃ bʁˈœ̃,pɛlˈikan brunˈatnɨ,bˈɑrnɑ pˈɛlikaːn,kafˈe pˌelekˈanos,brˈʉːn pˈeːliːkˌan
animals,buffalo,bˈʌfəlˌoʊ,bˈʏfəl,bˈɵfəl,bˈuffalo,bˈufalo,bˈufalo,bˈufɐlʊ,bˈivol,bˈʔœfəl,bˈyfl,bˈavuw,bˈøleːɲ,vuvˈali,bˈœffəl
animals,bug,bˈʌɡ,fˈeːlɜ,bˈɵx,xˈiba,bˈuɡ,erˈoɾ,ˌiŋsˈɛtʊ,insˈektə,fˈ?ɑjl,ɛ̃sˈɛkt,bwˈɔnt,hˈibɑ,sfˈalma,fˈaɪl
animals,bull,bˈʊl,bˈʊlə,stˈir,bˈul,tˈɔro,tˈoɾo,tˈowɾʊ,taˈur,tˈʔyɐ̯,toʁˈo,bˈɨk,bˈikɑ,(en)bˈʊl(el),bˈʉl
animals,bull shark,bˈʊl ʃˈɑːɹk,bˈʊlənhˌaɪ,stˈirhaːj,ʒrˈalok bˈiːtʃiː,skwˈalo tˈɔro,tˌiβuɾˈon tˈoɾo,tˌubɐɾˈɐ̃ʊ̃tˈowɾʊ,rekˈin taˈur,tˈyʔʌhˌ?ɑj,ʁəkˈɛ̃ toʁˈo,rˈɛkin bˈɨk,bˈikɑtsaːpɑ,kˌarxarˈias tˈavros,ˈɔkseːhˌɑɪ
animals,bull snake,bˈʊl snˈeɪk,bˈʊlənʃlˌaŋə,stˈirslɑŋ,bˈiːtʃiː hˈat,serpˈɛnte tˈɔro,seɾpjˈɛnte tˈoɾo,kˈɔbɹɐtˈowɾʊ,ʃˈarpe taˈur,tˈyʔʌslˌ?ɑŋə,sɛʁpˈɑ̃ toʁˈo,vˈɔ̃ʒ bˈɨk,bˈikɑkiːɟoː,fˈiði tˈavros,ˈɔksəslˌɑŋa
animals,bulldog,bˈʊldɑːɡ,bˈʊldɔɡə,bˈɵldɔx,bˈuldok,bˈuldoɡ,buʎðˈoɡ,buldˈɔɡ,buldˈoɡ,bˈʔuldʌːɡ,buldˈoɡ,bˈuldɔk,bˈuldoɡ,buldˈoŋɡ,bˈʉlduːɡ
animals,bullfrog,bˈʊlfɹɑːɡ,ˈɔxzənfrˌɔʃ,brˈɵlkɪkər,bˈiːtʃiː ʒˈaːba,rˈana tˈɔro,rˈana tˈoɾo,ʁˈɐ̃tˈowɾʊ,brˈɔaskətaˈur,ˈʔʌksəfʁʔœ,ɡʁənˈuj də- toʁˈo,ʒˈaba bˈɨk,bˈikɑbeːkɑ,(en)bˈʊlfɹɒɡ(el),ˈɔksəfrˌɔsk
animals,bumblebee,bˈʌmbəlbˌiː,hˈʊməln,hˈɔməl,tʃmˈelaːk,bˈombo,ˌaβexˈoro,ˌɐbˈeʎɐ,bondˈar,hˈɒmləbʔi,buʁdˈɔ̃,tʃmʲˈɛl,dˈonɡoː,(en)bˈʌmbəlbˌiː(el),hˈʉmla
animals,bushbaby,bˈʊʃbeɪbi,(en)bˈʊʃbeɪbi(de),bˈɵʃbeːbˌi,bˈuzhbabi,tʃespˈuʎo,buʃβˈaβi,bɨbˈɛ dʊ mˈatʊ,buʃbˈabi,bˈʔushbεjbˌʔi,(en)bˈʊʃbeɪbi(fr),buʒbˈabɨ,bˈuʃhbɑbi,(en)bˈʊʃbeɪbi(el),bˈʉshbabˌyː
animals,butterfly,bˈʌɾɚflˌaɪ,ʃmˈɛtɜlˌɪŋ,vlˈɪndər,mˈotiːl,farfˈalla,mˌaɾipˈosa,bˌuɾəbulˈetɐ,flutˈuɾe,sˈʔʌmʔʌfˌʔul,papijˈɔ̃,mˈɔtɨl,pˈillɑnɡoː,pˌetalˈuða,sˈɔmmarfˌʉɡl
animals,caiman,kˈeɪmən,kaɪmˈɑːn,kˈaːjmɑn,kˈajman,kaɪmˈano,kaɪmˈan,ʒˌɐkɐɾˈɛ,kaɪmˈan,kˈaʔimˌan,kaimˈɑ̃,kˈajman,kˈɑjmaːn,kaɪmˈan,kˈɑɪman
animals,california sea lion,kˌælɪfˈɔːɹniə sˈiː lˈaɪən,kˌɑliːfˈɔɾnɪʃɜ zˈeːløːvə,kˌaːlifˈɔrnisə zˈeːlˌeʊ,kˈalifˌornskiː lˈaxtan,leˈone marˈino dˌella kalifˈɔrnia,leˈon maɾˈino ðe kˌalifˈoɾnja,liˈɐ̃ʊ̃mˌɐɾˈiɲʊ dɐ kˌɐlifˈɔɾənjɐ,lˈeu de mˈaɾe kˌalifˈornja,kˌalʔifˈɒɒnʔisɡ sˈʔœlœʋə,otaʁˈi də- kalifɔʁnˈi,lˈɛf mˈɔrski kˌalifɔrɲˈijski,kˈɑliforniɑi ˈoroslaːnfoːkɑ,θalˈassjo ʎodˈari tis kˌalifˈorɲas,kˈaliːfˌɔrnɪsk ʃˈøːløːva
animals,camel,kˈæməl,kamˈeːl,kaːmˈeːl,vˈelbloʊt,kammˈɛllo,kamˈeʎo,kɐmˈelʊ,kəmˈilə,kamˈʔel,ʃamˈo,vʲˈɛlbwɔnt,tˈɛvɛ,kamˈila,kˈaməl
animals,canada goose,kˈænədə ɡˈuːs,kˌɑnadaɡˈɑːns,kˈɑnaːdˌaː ɣˈɑns,tsˈanada ɡˈoose,kˈanada ɡoˈoze,ɡˈanso kˌanaðjˈɛnse,ɡˈɐ̃ŋsʊ kɐnˌɐdiˈɐ̃nʊ,kanˈada ɡoˈose,kˈanaðˌa ɡˈuːsə,kanadˈa (en)ɡˈuːs(fr),tsanˈada ɡɔˈɔsɛ,tsˈɑnɑdɑ lˈibɑ,(en)kˈanədə ɡˈuːs(el),kˈanadˌɑ ɡˈuːuːsa
animals,canary,kənˈɛɹi,kˈɑnarˌɪɛnfˌoːɡəl,kˌaːnaːrˈi,kˈanaːrek,kanarˈino,kanˈaɾjo,kɐnˈaɾjʊ,kanˈar,kanˈɑʁʔiəfˌʔul,kanaʁˈi,kanˈarɛk,kˈɑnaːri,kˌanarˈini,kˈanarˌiːfʉɡl
